si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
at 	at 	_ 	_ 	_ 	_ 	CONJ
ipinagbawal 	  bawal 	  ipag 	  in 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
patuluyin 	  tuloy 	  pa 	  _ 	  in 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
nasiyahang 	  siya 	  na 	  _ 	  hang 	  _ 	VERB
lapastanganin 	  lapastangan 	  _ 	  _ 	  in 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
katuwiran 	  tuwid 	  ka 	  _ 	  an 	  _ 	NOUN
kundi 	  kundi 	  _ 	  _ 	  _ 	  _ 	SCONJ
niyurakan 	  yurak 	  ni 	  _ 	  an 	  _ 	VERB
sampu 	  sampu 	  _ 	  _ 	  _ 	  _ 	CONJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kaugalian 	  ugali 	  ka 	  _ 	  ang 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
inyong 	  inyong 	  _ 	  _ 	  _ 	  _ 	DET
bayan 	  bayan 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

naglingkod 	  lingkod 	  nag 	  _ 	  _ 	  _ 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
hari 	  hari 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
espanya 	  espanya 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ngalan 	  ngalan 	  _ 	  _ 	  _ 	  _ 	NOUN
nila 	  nila 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
pinag-usig 	  usig 	  pinag 	  _ 	  _ 	  _ 	VERB
ninyo 	  ninyo 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
katuwiran 	  tuwid 	  ka 	  _ 	  an 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
itinapon 	  tapon 	  i 	  in 	  _ 	  _ 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
't 	  't 	  _ 	  _ 	  _ 	  _ 	CONJ
sukat 	  sukat 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
man 	  man 	  _ 	  _ 	  _ 	  _ 	PART
nilitis 	  litis 	  ni 	  _ 	  _ 	  _ 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
inilayo 	  layo 	  ini 	  _ 	  _ 	  _ 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
inyong 	  inyong 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
asawa 	  asawa 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
anak 	  anak 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

mahigit 	  higit 	  ma 	  _ 	  _ 	  _ 	ADJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tiniis 	  tiis 	  _ 	  in 	  _ 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
kabesang 	  kabesa 	  _ 	  _ 	  ng 	  _ 	PROPN
tales 	  tales 	  _ 	  _ 	  _ 	  _ 	PROPN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tiniis 	  tiis 	  _ 	  in 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bawat 	bawat 	_ 	_ 	_ 	_ 	CONJ
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
inyo 	  inyo 	  _ 	  _ 	  _ 	  _ 	DET
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
wala 	  wala 	  _ 	  _ 	  _ 	  _ 	ADVERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	PART
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
man 	  man 	  _ 	  _ 	  _ 	  _ 	PART
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
inyo 	  inyo 	  _ 	  _ 	  _ 	  _ 	DET
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
naghiganti 	  higanti 	  nag 	  _ 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
kinaaawaan 	  awa 	  ka 	  in 	  an 	  a 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
bagkus 	  bagkus 	  _ 	  _ 	  _ 	  _ 	SCONJ
pinag-usig 	  usig 	  pinag 	  _ 	  _ 	  _ 	VERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
hanggang 	  hanggang 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
inyong 	  inyong 	  _ 	  _ 	  _ 	  _ 	DET
libing 	  libing 	  _ 	  _ 	  _ 	  _ 	NOUN
katulad 	  tulad 	  ka 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
ginawa 	  gawa 	  _ 	  in 	  _ 	  _ 	VERB
kay 	  kay 	  _ 	  _ 	  _ 	  _ 	DET
mariano 	  mariano 	  _ 	  _ 	  _ 	  _ 	PROPN
herbosa 	  herbosa 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

tumangis 	  tangis 	  _ 	  um 	  _ 	  _ 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
liblib 	  liblib 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
pulong 	  pulong 	  _ 	  _ 	  _ 	  _ 	NOUN
pinagtapunan 	  tapun 	  pinag 	  _ 	  an 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
inyo 	  inyo 	  _ 	  _ 	  _ 	  _ 	DET
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
alam 	  alam 	  _ 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
sasapitin 	  sapit 	  _ 	  _ 	  in 	  sa 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kinakandili 	  kandili 	  _ 	  in 	  _ 	  ka 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
espanya 	  espanya 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
magtatagal 	  tagal 	  mag 	  _ 	  _ 	  ta 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
tatamuhin 	  tamo 	  _ 	  _ 	  hin 	  ta 	VERB
ninyo 	  ninyo 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
katarungan 	  katarungan 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
kamahalan 	  mahal 	  ka 	  _ 	  an 	  _ 	CONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kapitan 	  kapitan 	  _ 	  _ 	  _ 	  _ 	CONJ
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	CONJ
at 	at 	_ 	_ 	_ 	_ 	CONJ
gobernador 	  gobernador 	  _ 	  _ 	  _ 	  _ 	PROPN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pilipinas 	  pilipinas 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nangaso 	  aso 	  nang 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
busubuso 	  busubuso 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
kasamang 	  sama 	  ka 	  _ 	  ang 	  _ 	NOUN
banda 	  banda 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
musiko 	  musiko 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
dahilang 	  dahilan 	  _ 	  _ 	  g 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pagkagiliw 	  giliw 	  pagka 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
di-matinigkalang 	  matinigkalang 	  di 	  _ 	  _ 	  _ 	ADVERB
sining 	  sining 	  _ 	  _ 	  _ 	  _ 	NOUN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
sta. 	  sta. 	  _ 	  _ 	  _ 	  _ 	CONJ
cecilia 	  cecilia 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
laganap 	  laganap 	  _ 	  _ 	  _ 	  _ 	ADJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ugali 	  ugali 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
usa 	  usa 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
baboy-ramo 	  baboy-ramo 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
nahuli 	  huli 	  na 	  _ 	  _ 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	PART
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
mang 	  mang 	  _ 	  _ 	  _ 	  _ 	PART
daga 	  daga 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	PART
ibon 	  ibon 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
kaalakbay 	  alakbay 	  ka 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
prayle 	  prayle 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kawal 	kawal 	_ 	_ 	_ 	_ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kawani 	  kawani 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nangatakot 	  takot 	  nanga 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pinuno 	  pinuno 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
lalawigan 	  lawig 	  _ 	  _ 	  an 	  la 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
baka 	  baka 	  _ 	  _ 	  _ 	  _ 	ADVERB
sila 	  sila 	  _ 	  _ 	  _ 	  _ 	PRON
maalis 	  alis 	  ma 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
katungkulan 	  katungkulan 	  _ 	  _ 	  _ 	  _ 	NOUN
o 	o 	_ 	_ 	_ 	_ 	CONJ
mapalipat 	  lipat 	  mapa 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ibang 	  ibang 	  _ 	  _ 	  _ 	  _ 	ADJ
lalawigan 	  lawig 	  _ 	  _ 	  an 	  la 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
totoo 	  too 	  _ 	  _ 	  _ 	  to 	ADVERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
lihim 	  lihim 	  _ 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
nasiyahan 	  siya 	  na 	  _ 	  han 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pangyayari 	  yari 	  pang 	  _ 	  _ 	  ya 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

isang 	isa 	_ 	_ 	ng 	_ 	ADJ
malaking 	  laki 	  ma 	  _ 	  ng 	  _ 	ADJ
mantsa 	  mantsa 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
karangalan 	  dangal 	  ka 	  _ 	  an 	  _ 	NOUN
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
makapatay 	  patay 	  maka 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
usa 	  usa 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

bukod 	  bukod 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
roo 	  roo 	  _ 	  _ 	  _ 	  _ 	CONJ
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
naisip 	  isip 	  na 	  _ 	  _ 	  _ 	VERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
palihim 	  lihim 	  pa 	  _ 	  _ 	  _ 	ADVERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sasabihin 	  sabi 	  _ 	  _ 	  hin 	  sa 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
indiyo 	  indiyo 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

alam 	  alam 	  _ 	  _ 	  _ 	  _ 	VERB
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
mahusay 	  husay 	  ma 	  _ 	  _ 	  _ 	ADJ
din 	  din 	  _ 	  _ 	  _ 	  _ 	PART
namang 	  namang 	  _ 	  _ 	  _ 	  _ 	PART
manudla 	  udla 	  man 	  _ 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pangyayari 	  yari 	  pang 	  _ 	  _ 	  ya 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
nakangiti 	  ngiti 	  naka 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
ngiting-tupa 	  ngiting-tupa 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nag-utos 	  utos 	  nag 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
madaliang 	  dalia 	  ma 	  _ 	  ng 	  _ 	ADJ
pagbalik 	  balik 	  pag 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
los 	  los 	  _ 	  _ 	  _ 	  _ 	PROPN
banos 	  banos 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

samantalang 	  samantalang 	  _ 	  _ 	  _ 	  _ 	SCONJ
naglalakbay 	  lakbay 	  nag 	  _ 	  _ 	  la 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
ipinagyabang 	  yabang 	  ipag 	  in 	  _ 	  _ 	VERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
pangangaso 	  aso 	  panganga 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
peninsula 	  peninsula 	  _ 	  _ 	  _ 	  _ 	PROPN
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
at 	at 	_ 	_ 	_ 	_ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
dahilang 	  dahilan 	  _ 	  _ 	  g 	  _ 	NOUN
